area,gender,total,10세미만,10대,20대,30대,40대,50대,60대,70대,80대,90대,100세이상
제주,전체,"665,276","44,729","70,129","66,283","76,989","102,755","119,265","98,029","53,049","27,909","5,933",206
한국,남성,"25,451,723","1,528,758","2,377,553","2,978,234","3,484,994","3,869,766","4,366,075","3,893,173","2,062,940","802,490","86,238","1,502"
서울,남성,"4,489,067","237,978","367,477","593,335","729,571","675,956","724,718","625,088","368,990","150,343","15,292",319
부산,남성,"1,578,085","87,901","135,387","174,571","200,727","233,721","260,721","259,615","161,684","58,804","4,902",52
대구,남성,"1,154,160","69,555","109,304","134,226","152,038","168,031","201,803","180,900","97,220","37,271","3,767",45
인천,남성,"1,523,210","97,572","141,237","175,746","224,696","244,615","257,983","232,251","107,308","37,706","3,998",98
광주,남성,"688,690","44,353","74,345","90,252","90,362","106,919","119,772","92,731","48,350","19,617","1,966",23
대전,남성,"718,579","44,944","69,786","98,771","103,436","105,187","121,200","101,078","52,303","19,685","2,152",37
울산,남성,"563,285","34,930","56,919","64,715","75,436","88,023","99,891","90,354","40,760","11,298",950,9
세종,남성,"195,359","19,874","27,320","18,675","28,800","37,548","30,688","19,620","9,273","3,161",395,5
경기,남성,"6,893,167","458,782","678,558","821,527","1,006,220","1,116,730","1,186,248","976,051","454,351","174,661","19,623",416
강원,남성,"758,837","41,597","64,835","83,473","85,148","99,759","133,084","140,113","74,546","32,880","3,302",100
충북,남성,"811,762","48,215","73,681","92,567","106,328","115,712","139,620","136,053","68,755","27,693","3,087",51
충남,남성,"1,096,883","65,379","104,685","118,215","138,447","167,763","186,926","173,958","95,813","40,119","5,501",77
전북,남성,"860,355","45,394","82,520","94,539","90,787","116,486","155,203","146,015","88,069","36,680","4,609",53
전남,남성,"898,708","49,253","79,970","89,773","90,318","120,446","163,895","163,441","95,531","41,412","4,594",75
경북,남성,"1,270,741","67,005","112,553","127,968","139,584","174,787","225,933","233,269","132,446","51,215","5,911",70
경남,남성,"1,618,503","93,173","162,896","164,491","183,951","246,260","296,748","273,345","143,045","49,572","4,963",59
제주,남성,"332,332","22,853","36,080","35,390","39,145","51,823","61,642","49,291","24,496","10,373","1,226",13
한국,여성,"25,691,698","1,454,276","2,252,768","2,755,529","3,180,102","3,734,638","4,290,009","3,998,689","2,404,038","1,341,063","273,180","7,406"
서울,여성,"4,824,465","225,783","352,252","674,289","729,761","692,392","748,395","693,239","450,224","217,918","39,053","1,159"
부산,여성,"1,668,219","83,668","128,965","167,937","187,650","228,304","270,369","293,600","197,868","93,754","15,718",386
대구,여성,"1,201,517","65,869","103,650","121,954","132,920","169,239","211,796","197,590","122,155","64,523","11,578",243
인천,여성,"1,526,105","92,655","134,471","164,860","205,552","229,982","258,406","238,779","123,259","63,906","13,786",449
광주,여성,"707,179","42,694","69,915","82,628","83,460","107,195","121,951","100,534","60,583","31,799","6,252",168
대전,여성,"723,467","42,380","66,131","90,503","90,885","104,844","121,683","107,171","61,360","31,854","6,469",187
울산,여성,"529,512","33,244","52,690","47,241","61,216","81,553","99,442","88,180","43,646","18,759","3,453",88
세종,여성,"197,047","19,205","26,651","18,021","29,353","39,097","28,171","19,794","10,084","5,244","1,388",39
경기,여성,"6,831,485","437,327","648,709","748,842","913,939","1,070,914","1,172,280","979,230","520,504","280,361","57,725","1,654"
강원,여성,"750,227","39,778","60,747","65,517","73,190","95,990","125,188","139,264","83,620","55,280","11,313",340
충북,여성,"781,154","45,447","69,403","74,968","85,771","106,342","132,048","131,705","76,119","48,610","10,475",266
충남,여성,"1,039,795","62,166","98,032","95,571","113,676","146,882","165,130","165,672","105,055","70,100","17,104",407
전북,여성,"866,559","43,582","77,281","79,410","82,099","111,658","143,973","144,243","101,429","67,082","15,400",402
전남,여성,"880,555","47,149","75,704","70,770","79,682","107,501","140,442","152,009","107,575","81,683","17,572",468
경북,여성,"1,240,118","63,431","102,661","95,430","113,821","159,839","209,526","226,958","149,355","97,405","21,181",511
경남,여성,"1,591,350","88,022","151,457","126,695","159,283","231,974","283,586","271,983","162,649","95,249","20,006",446
제주,여성,"332,944","21,876","34,049","30,893","37,844","50,932","57,623","48,738","28,553","17,536","4,707",193
